term,coef,se,pvalue
Promo,0.2892895889556029,0.00626300447145609,0.0
Promo:high_comp,0.005560836324719209,0.007818561195124921,0.4769386651403784
Promo:Promo2,0.02662278741871047,0.007853000298344431,0.0006985958780933998
